contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
LCID251121C00000500,2025-08-29 14:26:01+00:00,0.5,1.5,1.47,1.51,-0.11,-6.8323,6.0,38,1.0000000000000003e-05,True,REGULAR,USD,2025-11-21
LCID251121C00001000,2025-08-28 18:37:36+00:00,1.0,1.11,0.99,1.04,0.0,0.0,20.0,4006,1.0000000000000003e-05,True,REGULAR,USD,2025-11-21
LCID251121C00001500,2025-08-29 19:53:49+00:00,1.5,0.61,0.58,0.6,-0.04,-6.15384,112.0,9936,1.0000000000000003e-05,True,REGULAR,USD,2025-11-21
LCID251121C00002000,2025-08-29 19:59:20+00:00,2.0,0.31,0.31,0.33,-0.06,-16.2162,474.0,40429,1.0000000000000003e-05,True,REGULAR,USD,2025-11-21
LCID251121C00002500,2025-08-29 19:55:18+00:00,2.5,0.17,0.17,0.19,-0.03,-15.0,530.0,14914,1.0000000000000003e-05,True,REGULAR,USD,2025-11-21
LCID251121C00003000,2025-08-29 19:53:57+00:00,3.0,0.11,0.1,0.12,-0.01,-8.33333,290.0,29156,1.0000000000000003e-05,True,REGULAR,USD,2025-11-21
LCID251121C00003500,2025-08-29 17:37:10+00:00,3.5,0.07,0.07,0.08,-0.01,-12.5,52.0,6582,1.0000000000000003e-05,True,REGULAR,USD,2025-11-21
LCID251121C00004000,2025-08-29 18:42:19+00:00,4.0,0.07,0.05,0.06,0.01,16.6667,1321.0,9983,1.0000000000000003e-05,True,REGULAR,USD,2025-11-21
LCID251121C00004500,2025-08-29 19:20:21+00:00,4.5,0.04,0.02,0.07,-0.01,-20.0,104.0,2498,1.0000000000000003e-05,True,REGULAR,USD,2025-11-21
LCID251121C00005000,2025-11-17 19:07:19+00:00,5.0,7.75,7.05,8.25,0.0,0.0,9.0,8,7.203125996093751,True,REGULAR,USD,2025-11-21
LCID251121C00005500,2025-08-27 14:05:25+00:00,5.5,0.03,0.01,0.05,0.0,0.0,200.0,250,1.0000000000000003e-05,True,REGULAR,USD,2025-11-21
